"Country","ISO3","Specie","Breed/Most common name","Year","dna samples","dna donors total","dna donors males","dna donors females","embryos samples","embryos donors total","embryos donors males","embryos donors females","somatic cells samples","somatic cells donors total","somatic cells donors males","somatic cells donors females","semen samples","semen donors males","oocytes samples","oocytes donors females","sufficient","organisation","collected by","Geographical classification","Last update"
"Spain","ESP","Pig","Chato Murciano","2019","0","0","0","0","0","0","0","0","0","0","0","0","4019","23","0","0","","","","Local","28-Jan-2021"
"Spain","ESP","Pig","Chato Murciano","2020","0","0","0","0","0","0","0","0","0","0","0","0","4019","23","0","0","","","","Local","27-Jan-2022"
"Spain","ESP","Pig","Chato Murciano","2021","0","0","0","0","0","0","0","0","0","0","0","0","4064","24","0","0","","","","Local","14/2/2024"
"Spain","ESP","Pig","Chato Murciano","2022","0","0","0","0","0","0","0","0","0","0","0","0","4064","24","0","0","","","","Local","16/2/2024"
"Spain","ESP","Pig","Chato Vitoriano","2020","","","","","","","","","","","","","","","","","","","","Local","16-Sept-2020"
"Spain","ESP","Pig","Duroc","2012","","","","","0","","","","","","","","137","","0","","","","","International",""
"Spain","ESP","Pig","Duroc","2013","","","","","0","","","","","","","","140","","0","","","","","International",""
"Spain","ESP","Pig","Duroc","2014","","","","","0","0","","0","","","","","121","5","0","0","","","","International",""
"Spain","ESP","Pig","Duroc","2015","","","","","0","0","","0","","","","","151","7","0","0","","","","International",""
"Spain","ESP","Pig","Duroc","2016","0","0","0","0","0","0","","0","0","0","0","0","10","200","0","0","","","","International",""
"Spain","ESP","Pig","Duroc","2017","","","","","0","0","","","","","","","80","218","0","0","","","","International","9/5/2019"
"Spain","ESP","Pig","Duroc","2018","","","","","0","0","0","0","0","0","0","0","55","118","0","0","","","","International","16-Sept-2020"
"Spain","ESP","Pig","Duroc","2019","","","","","51","8","3","5","","","","","1535","16","0","0","","","","International","28-Jan-2021"
"Spain","ESP","Pig","Duroc","2020","","","","","0","0","0","0","","","","","1390","32","0","0","","","","International","27-Jan-2022"
"Spain","ESP","Pig","Duroc","2021","1263","1263","1071","192","0","0","0","0","0","0","0","0","1260","10","0","0","","","","International","14/2/2024"
"Spain","ESP","Pig","Duroc","2022","933","933","933","0","0","0","0","0","0","0","0","0","1210","56","0","0","","","","International","16/2/2024"
"Spain","ESP","Pig","Euskal Txerria","2012","","","","","0","","","","","","","","0","","0","","","","","Local",""
"Spain","ESP","Pig","Euskal Txerria","2014","","","","","0","0","","0","","","","","0","0","0","0","","","","Local",""
"Spain","ESP","Pig","Euskal Txerria","2015","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","Local","16-Sept-2020"
"Spain","ESP","Pig","Euskal Txerria","2019","","","","","0","0","0","0","","","","","0","0","0","0","","","","Local","28-Jan-2021"
"Spain","ESP","Pig","Euskal Txerria","2020","","","","","0","0","0","0","","","","","0","0","0","0","","","","Local","27-Jan-2022"
"Spain","ESP","Pig","Euskal Txerria","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","Local","27/1/2023"
"Spain","ESP","Pig","Gochu Asturcelta","2013","","","","","0","","","","","","","","14321","","0","","","","","Local",""
"Spain","ESP","Pig","Gochu Asturcelta","2015","0","0","0","0","0","0","","0","0","0","0","0","24391","15","0","0","","","","Local",""
"Spain","ESP","Pig","Gochu Asturcelta","2016","","","","","0","0","","0","","","","","24391","15","0","0","","","","Local",""
"Spain","ESP","Pig","Gochu Asturcelta","2017","","","","","0","0","","","","","","","28135","20","0","0","","","","Local","9/5/2019"
"Spain","ESP","Pig","Gochu Asturcelta","2018","","","","","0","0","0","0","0","0","0","0","30472","22","0","0","","","","Local","16-Sept-2020"
"Spain","ESP","Pig","Gochu Asturcelta","2019","","","","","0","0","0","0","","","","","30472","22","0","0","","","","Local","28-Jan-2021"
"Spain","ESP","Pig","Gochu Asturcelta","2020","","","","","0","0","0","0","","","","","30472","22","0","0","","","","Local","27-Jan-2022"
"Spain","ESP","Pig","Gochu Asturcelta","2021","115","115","59","56","0","0","0","0","0","0","0","0","30472","22","0","0","","","","Local","14/2/2024"
"Spain","ESP","Pig","Gochu Asturcelta","2022","279","279","121","158","0","0","0","0","0","0","0","0","30472","22","0","0","","","","Local","16/2/2024"
"Spain","ESP","Pig","Hampshire","2020","","","","","","","","","","","","","","","","","","","","International","16-Sept-2020"
"Spain","ESP","Pig","Ibérico","2012","","","","","0","","","","","","","","0","","0","","","","","Local",""
"Spain","ESP","Pig","Ibérico","2013","","","","","0","","","","","","","","0","","0","","","","","Local",""
"Spain","ESP","Pig","Ibérico","2014","","","","","0","0","","0","","","","","0","0","0","0","","","","Local",""
"Spain","ESP","Pig","Ibérico","2015","","","","","0","0","","0","","","","","0","0","0","0","","","","Local",""
"Spain","ESP","Pig","Ibérico","2016","","","","","0","0","","0","","","","","0","2","0","0","","","","Local",""
"Spain","ESP","Pig","Ibérico","2017","","","","","0","0","","","","","","","285","3","0","0","","","","Local","9/5/2019"
"Spain","ESP","Pig","Ibérico","2018","","","","","0","0","0","0","0","0","0","0","285","2","0","0","","","","Local","16-Sept-2020"
"Spain","ESP","Pig","Ibérico","2019","","","","","0","0","0","0","","","","","4790","35","0","0","","","","Local","28-Jan-2021"
"Spain","ESP","Pig","Ibérico","2020","","","","","0","0","0","0","","","","","5800","40","0","0","","","","Local","27-Jan-2022"
"Spain","ESP","Pig","Ibérico","2021","3239","3239","641","2598","30","4","1","3","0","0","0","0","4694","39","0","0","","","","Local","14/2/2024"
"Spain","ESP","Pig","Ibérico","2022","4662","4662","1489","3173","0","0","0","0","0","0","0","0","4049","40","0","0","","","","Local","16/2/2024"
