Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other
Ringamåla,Taurus,Sweden,—,Dairy,—,—
Rohjan,Indicus,—,Meat,—,Draught,—
Romagnola,Taurus,Italy,Meat,—,Draught,—
Romanian Bălţata,—,Romania,—,—,—,—
Romanian Steppe Gray,—,Romania,—,—,—,—
Romosinuano,Taurus,Colombia,Meat,—,—,—
Russian Black Pied,Taurus,Russia,Meat,Dairy,Draught,—
RX3,Taurus,—,Meat,—,—,—
Sahiwal,Indicus,Pakistan,Meat,Dairy,—,—
Sibi Bhagnari,Zebu,"Sibi, Pakistan",Meat,—,Draught,Sibi Mela 
Salers,Taurus,France,Meat,—,Draught,—
Salorn,Taurus,—,Meat,—,—,—
Sanga,Taurus/Indicus hybrid,—,Meat,—,—,—
Sanhe,Taurus/Mongolian hybrid,—,Meat,Dairy,Draught,—
Santa Cruz,Taurus/Indicus hybrid,United States,Meat,—,—,—
Santa Gertrudis,Taurus/Indicus hybrid,United States,Meat,—,—,—
Sayaguesa,Taurus,Spain,Meat,—,Draught,—
Schwyz,—,Switzerland,—,—,—,—
Selembu,Gaur/Indicus hybrid,—,Meat,Dairy,—,—
Senepol,Taurus/Indicus hybrid,—,Meat,—,—,—
Serbian Pied,Taurus,Serbia,—,Dairy,—,—
Serbian Steppe,Taurus,Serbia,—,—,Draught,—
Sheko,—,Ethiopia,—,—,—,—
Shetland,Taurus,Scotland,Meat,—,Draught,—
Shorthorn,Taurus,England,Meat,—,—,—
Siboney de Cuba,Taurus/Indicus hybrid,—,Meat,—,Draught,—
Simbrah,Taurus/Indicus hybrid,—,Meat,—,—,—
Simford,Taurus,—,Meat,—,—,—
Simmental,Taurus,Switzerland,Meat,Dairy,Draught,—
Siri,Zebu,Bhutan,—,Dairy,Draught,—
South Devon,Taurus,England,Meat,Dairy,—,—
Spanish Fighting Bull,Taurus,Spain,Meat,—,—,Sport
Speckle Park,Taurus,Canada,Meat,—,—,—
Square Meater,Taurus,Australia,Meat,—,—,—
Stabiliser,Taurus,United States,Meat,—,—,—
Sussex,Taurus,England,Meat,—,—,—
Swedish Friesian,Taurus,—,—,Dairy,—,—
Swedish Polled,Taurus,—,—,Dairy,—,—
Swedish Red Pied,Taurus,—,—,Dairy,—,—
Swedish Red Polled,Taurus,—,Meat,Dairy,—,—
Swedish Red-and-White,Taurus,—,Meat,Dairy,—,—
Tabapuã,Indicus,Brazil,Meat,Dairy,Draught,—
Tarentaise,Taurus,France,Meat,Dairy,—,—
Tasmanian Grey,Taurus,—,Meat,—,—,—
Telemark,Taurus,Norway,Meat,Dairy,—,—
Texas Longhorn,Taurus,United States,Meat,Dairy,—,—
Texon,Taurus,—,Meat,—,—,—
Thai Black,Taurus/Indicus hybrid,Thailand,Meat,—,—,—
Thai Fighting Bull,Indicus,Thailand,—,—,—,Sport
Thai Friesian,Taurus/Indicus hybrid,Thailand,—,Dairy,—,—
Thai Milking Zebu,Taurus/Indicus hybrid,Thailand,—,Dairy,—,—
Tharparkar,Indicus,India/ Pakistan[7],—,Dairy,Draught,—
Tswana,Taurus,Botswana,Meat,Dairy,—,—
Tudanca,Taurus,Spain,Meat,Dairy,Draught,"Grazing projects, rewilding"
Tuli,Taurus,Zimbabwe,Meat,Dairy,—,—
Tulim,Taurus/Indicus hybrid,—,Meat,—,—,—
Turkish Grey Steppe,Taurus,—,Meat,—,Draught,—
Tux-Zillertal,Taurus,Austria,Meat,—,—,—
Tyrol Grey,Taurus,Austria,Meat,Dairy,—,—
Umblachery,Indicus,India,—,Dairy,Draught,—
Ukrainian Grey,Taurus,Ukraine,—,—,—,—
Valdostana Castana,—,Italy,—,—,—,—
Valdostana Pezzata Nera,—,Italy,—,—,—,—
Valdostana Pezzata Rossa,—,Italy,—,—,—,—
Väneko,—,Sweden,—,—,—,—
Vaynol,Taurus,Wales,Meat,—,—,—
Vechur[8],Indicus,India,—,Dairy,—,Milk and ghee traditionally used in Ayurvedic medicine. The protein content of the milk has anti-bacterial properties[9][10] 
Vestland Fjord,Taurus,Norway,Meat,Dairy,—,—
Vestland Red Polled,Taurus,Norway,Meat,Dairy,—,—
Vianesa,Indicus,—,Meat,Dairy,—,—
Volinian Beef,—,Ukraine,Meat,—,—,—
Vorderwald,Taurus,Germany,Meat,Dairy,—,—
Vosgienne,Taurus,France,Meat,Dairy,—,—
Waguli,Taurus,USA,Meat,—,—,—
Wangus,Taurus/Indicus hybrid,—,Meat,—,—,—
Welsh Black,Taurus,Wales,Meat,—,—,—
Western Finncattle,Taurus,Finland,Meat,Dairy,—,—
White Cáceres,Taurus,—,Meat,—,Draught,—
White Fulani,Indicus,—,Meat,—,—,—
White Lamphun,Indicus,Thailand,—,—,Draught,—
White Park,Taurus,Great Britain,Meat,Dairy,—,—
Whitebred Shorthorn,Taurus,Great Britain,Meat,—,—,—
